sample	phenotype
rnaseq_hypoxia_tumor_ctrl_001	normoxic
rnaseq_hypoxia_tumor_ctrl_002	normoxic
rnaseq_hypoxia_tumor_ctrl_003	normoxic
rnaseq_hypoxia_tumor_ctrl_004	normoxic
rnaseq_hypoxia_tumor_ctrl_005	normoxic
rnaseq_hypoxia_tumor_ctrl_006	normoxic
rnaseq_hypoxia_tumor_ctrl_007	normoxic
rnaseq_hypoxia_tumor_ctrl_008	normoxic
rnaseq_hypoxia_tumor_ctrl_009	normoxic
rnaseq_hypoxia_tumor_ctrl_010	normoxic
rnaseq_hypoxia_tumor_ctrl_011	normoxic
rnaseq_hypoxia_tumor_ctrl_012	normoxic
rnaseq_hypoxia_tumor_ctrl_013	normoxic
rnaseq_hypoxia_tumor_ctrl_014	normoxic
rnaseq_hypoxia_tumor_ctrl_015	normoxic
rnaseq_hypoxia_tumor_ctrl_016	normoxic
rnaseq_hypoxia_tumor_ctrl_017	normoxic
rnaseq_hypoxia_tumor_ctrl_018	normoxic
rnaseq_hypoxia_tumor_ctrl_019	normoxic
rnaseq_hypoxia_tumor_ctrl_020	normoxic
rnaseq_hypoxia_tumor_ctrl_021	normoxic
rnaseq_hypoxia_tumor_ctrl_022	normoxic
rnaseq_hypoxia_tumor_ctrl_023	normoxic
rnaseq_hypoxia_tumor_ctrl_024	normoxic
rnaseq_hypoxia_tumor_ctrl_025	normoxic
rnaseq_hypoxia_tumor_case_001	hypoxic
rnaseq_hypoxia_tumor_case_002	hypoxic
rnaseq_hypoxia_tumor_case_003	hypoxic
rnaseq_hypoxia_tumor_case_004	hypoxic
rnaseq_hypoxia_tumor_case_005	hypoxic
rnaseq_hypoxia_tumor_case_006	hypoxic
rnaseq_hypoxia_tumor_case_007	hypoxic
rnaseq_hypoxia_tumor_case_008	hypoxic
rnaseq_hypoxia_tumor_case_009	hypoxic
rnaseq_hypoxia_tumor_case_010	hypoxic
rnaseq_hypoxia_tumor_case_011	hypoxic
rnaseq_hypoxia_tumor_case_012	hypoxic
rnaseq_hypoxia_tumor_case_013	hypoxic
rnaseq_hypoxia_tumor_case_014	hypoxic
rnaseq_hypoxia_tumor_case_015	hypoxic
rnaseq_hypoxia_tumor_case_016	hypoxic
rnaseq_hypoxia_tumor_case_017	hypoxic
rnaseq_hypoxia_tumor_case_018	hypoxic
rnaseq_hypoxia_tumor_case_019	hypoxic
rnaseq_hypoxia_tumor_case_020	hypoxic
rnaseq_hypoxia_tumor_case_021	hypoxic
rnaseq_hypoxia_tumor_case_022	hypoxic
rnaseq_hypoxia_tumor_case_023	hypoxic
rnaseq_hypoxia_tumor_case_024	hypoxic
rnaseq_hypoxia_tumor_case_025	hypoxic
