sample	phenotype
affy_hypoxia_tumor_ctrl_001	normoxic
affy_hypoxia_tumor_ctrl_002	normoxic
affy_hypoxia_tumor_ctrl_003	normoxic
affy_hypoxia_tumor_ctrl_004	normoxic
affy_hypoxia_tumor_ctrl_005	normoxic
affy_hypoxia_tumor_ctrl_006	normoxic
affy_hypoxia_tumor_ctrl_007	normoxic
affy_hypoxia_tumor_ctrl_008	normoxic
affy_hypoxia_tumor_ctrl_009	normoxic
affy_hypoxia_tumor_ctrl_010	normoxic
affy_hypoxia_tumor_ctrl_011	normoxic
affy_hypoxia_tumor_ctrl_012	normoxic
affy_hypoxia_tumor_ctrl_013	normoxic
affy_hypoxia_tumor_ctrl_014	normoxic
affy_hypoxia_tumor_ctrl_015	normoxic
affy_hypoxia_tumor_ctrl_016	normoxic
affy_hypoxia_tumor_ctrl_017	normoxic
affy_hypoxia_tumor_ctrl_018	normoxic
affy_hypoxia_tumor_ctrl_019	normoxic
affy_hypoxia_tumor_ctrl_020	normoxic
affy_hypoxia_tumor_ctrl_021	normoxic
affy_hypoxia_tumor_ctrl_022	normoxic
affy_hypoxia_tumor_ctrl_023	normoxic
affy_hypoxia_tumor_ctrl_024	normoxic
affy_hypoxia_tumor_ctrl_025	normoxic
affy_hypoxia_tumor_case_001	hypoxic
affy_hypoxia_tumor_case_002	hypoxic
affy_hypoxia_tumor_case_003	hypoxic
affy_hypoxia_tumor_case_004	hypoxic
affy_hypoxia_tumor_case_005	hypoxic
affy_hypoxia_tumor_case_006	hypoxic
affy_hypoxia_tumor_case_007	hypoxic
affy_hypoxia_tumor_case_008	hypoxic
affy_hypoxia_tumor_case_009	hypoxic
affy_hypoxia_tumor_case_010	hypoxic
affy_hypoxia_tumor_case_011	hypoxic
affy_hypoxia_tumor_case_012	hypoxic
affy_hypoxia_tumor_case_013	hypoxic
affy_hypoxia_tumor_case_014	hypoxic
affy_hypoxia_tumor_case_015	hypoxic
affy_hypoxia_tumor_case_016	hypoxic
affy_hypoxia_tumor_case_017	hypoxic
affy_hypoxia_tumor_case_018	hypoxic
affy_hypoxia_tumor_case_019	hypoxic
affy_hypoxia_tumor_case_020	hypoxic
affy_hypoxia_tumor_case_021	hypoxic
affy_hypoxia_tumor_case_022	hypoxic
affy_hypoxia_tumor_case_023	hypoxic
affy_hypoxia_tumor_case_024	hypoxic
affy_hypoxia_tumor_case_025	hypoxic
