sample	phenotype
rnaseq_senescence_aging_ctrl_001	young
rnaseq_senescence_aging_ctrl_002	young
rnaseq_senescence_aging_ctrl_003	young
rnaseq_senescence_aging_ctrl_004	young
rnaseq_senescence_aging_ctrl_005	young
rnaseq_senescence_aging_ctrl_006	young
rnaseq_senescence_aging_ctrl_007	young
rnaseq_senescence_aging_ctrl_008	young
rnaseq_senescence_aging_ctrl_009	young
rnaseq_senescence_aging_ctrl_010	young
rnaseq_senescence_aging_ctrl_011	young
rnaseq_senescence_aging_ctrl_012	young
rnaseq_senescence_aging_ctrl_013	young
rnaseq_senescence_aging_ctrl_014	young
rnaseq_senescence_aging_ctrl_015	young
rnaseq_senescence_aging_ctrl_016	young
rnaseq_senescence_aging_ctrl_017	young
rnaseq_senescence_aging_ctrl_018	young
rnaseq_senescence_aging_ctrl_019	young
rnaseq_senescence_aging_ctrl_020	young
rnaseq_senescence_aging_case_001	senescent
rnaseq_senescence_aging_case_002	senescent
rnaseq_senescence_aging_case_003	senescent
rnaseq_senescence_aging_case_004	senescent
rnaseq_senescence_aging_case_005	senescent
rnaseq_senescence_aging_case_006	senescent
rnaseq_senescence_aging_case_007	senescent
rnaseq_senescence_aging_case_008	senescent
rnaseq_senescence_aging_case_009	senescent
rnaseq_senescence_aging_case_010	senescent
rnaseq_senescence_aging_case_011	senescent
rnaseq_senescence_aging_case_012	senescent
rnaseq_senescence_aging_case_013	senescent
rnaseq_senescence_aging_case_014	senescent
rnaseq_senescence_aging_case_015	senescent
rnaseq_senescence_aging_case_016	senescent
rnaseq_senescence_aging_case_017	senescent
rnaseq_senescence_aging_case_018	senescent
rnaseq_senescence_aging_case_019	senescent
rnaseq_senescence_aging_case_020	senescent
